grapheme,ipa,alias,category,expansions,review_status,notes
Azeroth,/ˈæz.ə.rɑːθ/,AZ-er-oth,world,vanilla|tbc|wotlk,approved,
Kalimdor,/ˈkæl.ɪm.dɔːr/,KAL-im-dor,continent,vanilla|tbc|wotlk,approved,
Stormwind,/ˈstɔːrm.wɪnd/,STORM-wind,city,vanilla|tbc|wotlk,approved,
Darnassus,/dɑːrˈnæs.əs/,dar-NASS-us,city,vanilla|tbc|wotlk,approved,
Orgrimmar,/ɔːrˈɡrɪm.ɑːr/,or-GRIM-mar,city,vanilla|tbc|wotlk,approved,
Lordaeron,/ˈlɔːr.dɔːr.ɒn/,LORE-door-on,kingdom,vanilla|tbc|wotlk,approved,
Tirisfal,/ˈtɪər.ɪs.fɑːl/,TEER-iss-fahl,zone,vanilla|tbc|wotlk,approved,
Tanaris,/təˈnær.ɪs/,tuh-NAIR-iss,zone,vanilla|tbc|wotlk,approved,
Silithus,/ˈsɪl.ɪ.θəs/,SILL-ih-thus,zone,vanilla|tbc|wotlk,approved,
Feralas,/fɛr.əlˈæs/,fer-ral-AS,zone,vanilla|tbc|wotlk,approved,
Felwood,/ˈfɛl.wʊd/,FELL-wood,zone,vanilla|tbc|wotlk,approved,
Elwynn,/ˈɛl.wɪn/,ELL-win,zone,vanilla|tbc|wotlk,approved,
Durotar,/ˈdʊr.ə.tɑːr/,DUR-uh-tar,zone,vanilla|tbc|wotlk,approved,
Mulgore,/ˈmʌl.ɡɔːr/,MULL-gore,zone,vanilla|tbc|wotlk,approved,
Teldrassil,/tɛlˈdræs.ɪl/,tel-DRASS-ill,zone,vanilla|tbc|wotlk,approved,
Dun Morogh,/dʌn.mɔːr.roʊ/,done-more-row,zone,vanilla|tbc|wotlk,approved,
Loch Modan,/lɒk ˈmoʊ.dæn/,Lock MOH-dan,zone,vanilla|tbc|wotlk,approved,
Arathi,/əˈræθ.i/,uh-RATH-ee,zone,vanilla|tbc|wotlk,approved,
Alterac,/ˈɔːl.tər.æk/,altar-ack,zone,vanilla|tbc|wotlk,approved,
Gnomeregan,/ˈnoʊm.rə.ɡæn/,gnome-re-gan,dungeon,vanilla|tbc|wotlk,approved,
Uldaman,/ˈʌl.də.mɒn/,UL-duh-mon,dungeon,vanilla|tbc|wotlk,approved,
Stratholme,/ˈstræθ.hoʊlm/,STRATH-holm,dungeon,vanilla|tbc|wotlk,approved,
Scholomance,/ˈskoʊ.lə.mæns/,SKOH-luh-mance,dungeon,vanilla|tbc|wotlk,approved,
Zul'Farrak,/ˌzuːl fəˈrɑːk/,zool fuh-ROCK,dungeon,vanilla|tbc|wotlk,approved,
Ahn'Qiraj,/ɑːn kɪˈrɑːʒ/,ahn kee-RAHZH,raid,vanilla|tbc|wotlk,approved,
Cenarion,/sɛˈnɛər.i.ən/,sen-AIR-ee-un,faction,vanilla|tbc|wotlk,approved,
Sylvanas,/sɪlˈvɑː.nəs/,sil-VAH-nus,character,vanilla|tbc|wotlk,approved,
Jaina,/ˈdʒeɪ.nɑː/,JAY-nah,character,vanilla|tbc|wotlk,approved,
Uther,/ˈuː.θər/,OO-ther,character,vanilla|tbc|wotlk,approved,
Arthas,/ˈɑːr.θəs/,AR-thus,character,vanilla|tbc|wotlk,approved,
Bolvar,/ˈboʊl.vɑːr/,BOWL-var,character,vanilla|tbc|wotlk,approved,
Cairne,/ˈkɛər.ən/,CARE-n,character,vanilla|tbc|wotlk,approved,
Tyrande,/tɪrˈræn.dɛ/,tir-RAN-deh,character,vanilla|tbc|wotlk,approved,
Malfurion,/mælˈfjʊər.i.ən/,mal-FYUR-ee-on,character,vanilla|tbc|wotlk,approved,
Illidan,/ˈɪl.ɪ.dən/,ILL-ih-dan,character,vanilla|tbc|wotlk,approved,
Magni,/ˈmæɡ.niː/,MAG-knee,character,vanilla|tbc|wotlk,approved,
Muradin,/ˈmjʊər.ə.dɪn/,MYUR-ah-din,character,vanilla|tbc|wotlk,approved,
Anduin,/ˈæn.du.ɪn/,AN-doo-in,character,vanilla|tbc|wotlk,approved,
Varian,/ˈvɛər.i.æn/,VAIR-ee-an,character,vanilla|tbc|wotlk,approved,
Elune,/ɛˈluːn/,eh-LOON,deity,vanilla|tbc|wotlk,approved,
Draenei,/ˈdreɪ.naɪ/,DRAY-nye,race,tbc|wotlk,approved,
Draenor,/ˈdreɪ.nɔːr/,DRAY-nor,world,tbc|wotlk,approved,
Shattrath,/ˈʃɑː.træθ/,SHAH-trath,city,tbc|wotlk,approved,
Naaru,/ˈnɑː.ruː/,NAH-roo,race,tbc|wotlk,approved,
Exodar,/ˈɛk.soʊ.dɑːr/,ECK-so-dar,city,tbc|wotlk,approved,
Silvermoon,/ˈsɪl.vər.muːn/,SIL-ver-moon,city,tbc|wotlk,approved,
Quel'Thalas,/ˌkwɛlˈθɑː.ləs/,kwell-THAH-lus,kingdom,tbc|wotlk,approved,
Zangarmarsh,/ˈzæŋ.ɡər.mɑːrʃ/,ZANG-ger-marsh,zone,tbc|wotlk,approved,
Nagrand,/ˈnæɡ.rænd/,NAG-rand,zone,tbc|wotlk,approved,
Terokkar,/təˈrɒk.ɑːr/,tuh-ROCK-ar,zone,tbc|wotlk,approved,
Netherstorm,/ˈnɛð.ər.stɔːrm/,NETH-er-storm,zone,tbc|wotlk,approved,
Northrend,/ˈnɔːrθ.rɛnd/,NORTH-rend,continent,wotlk,approved,
Dalaran,/ˈdæl.ə.ræn/,DAL-uh-ran,city,wotlk,approved,
Borean,/ˈbɔːr.i.ən/,BORE-ee-un,zone,wotlk,approved,
Dragonblight,/ˈdræɡ.ən.blaɪt/,DRAG-un-blight,zone,wotlk,approved,
Sholazar,/ˈʃoʊ.lə.zɑːr/,SHOH-luh-zar,zone,wotlk,approved,
Ulduar,/ˈʌl.duː.ɑːr/,UL-doo-are,raid,wotlk,approved,
Yogg-Saron,/ˈjɒɡ.sɔː.rɒn/,YOG-saw-ron,character,wotlk,approved,
Ner'zhul,/nərˈzuːl/,ner-ZOOL,character,vanilla|tbc|wotlk,approved,
Sindragosa,/ˌsɪn.drəˈɡoʊ.sə/,sin-druh-GOH-suh,character,wotlk,approved,
Vrykul,/ˈvrɪ.kʊl/,VRIH-kull,race,wotlk,approved,
