preview_id,profile_id,delivery_preset_id,evaluation_script_id,profile_approval_status,delivery_approval_status,source_voice_id,audio_status,audio_path,owner_decision,notes
spirit-male--neutral,spirit-male,neutral,neutral,draft,draft,,ungenerated,,pending,
spirit-male--angry,spirit-male,angry,angry,draft,draft,,ungenerated,,pending,
spirit-male--sorrowful,spirit-male,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
spirit-male--joyful,spirit-male,joyful,joyful,draft,draft,,ungenerated,,pending,
spirit-male--proclaiming,spirit-male,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
spirit-female--neutral,spirit-female,neutral,neutral,draft,draft,,ungenerated,,pending,
spirit-female--angry,spirit-female,angry,angry,draft,draft,,ungenerated,,pending,
spirit-female--sorrowful,spirit-female,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
spirit-female--joyful,spirit-female,joyful,joyful,draft,draft,,ungenerated,,pending,
spirit-female--proclaiming,spirit-female,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
titanforged-male--neutral,titanforged-male,neutral,neutral,draft,draft,,ungenerated,,pending,
titanforged-male--angry,titanforged-male,angry,angry,draft,draft,,ungenerated,,pending,
titanforged-male--sorrowful,titanforged-male,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
titanforged-male--joyful,titanforged-male,joyful,joyful,draft,draft,,ungenerated,,pending,
titanforged-male--proclaiming,titanforged-male,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
titanforged-female--neutral,titanforged-female,neutral,neutral,draft,draft,,ungenerated,,pending,
titanforged-female--angry,titanforged-female,angry,angry,draft,draft,,ungenerated,,pending,
titanforged-female--sorrowful,titanforged-female,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
titanforged-female--joyful,titanforged-female,joyful,joyful,draft,draft,,ungenerated,,pending,
titanforged-female--proclaiming,titanforged-female,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
trogg-male--neutral,trogg-male,neutral,neutral,draft,draft,,ungenerated,,pending,
trogg-male--angry,trogg-male,angry,angry,draft,draft,,ungenerated,,pending,
trogg-male--sorrowful,trogg-male,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
trogg-male--joyful,trogg-male,joyful,joyful,draft,draft,,ungenerated,,pending,
trogg-male--proclaiming,trogg-male,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
trogg-female--neutral,trogg-female,neutral,neutral,draft,draft,,ungenerated,,pending,
trogg-female--angry,trogg-female,angry,angry,draft,draft,,ungenerated,,pending,
trogg-female--sorrowful,trogg-female,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
trogg-female--joyful,trogg-female,joyful,joyful,draft,draft,,ungenerated,,pending,
trogg-female--proclaiming,trogg-female,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
quillboar-male--neutral,quillboar-male,neutral,neutral,draft,draft,,ungenerated,,pending,
quillboar-male--angry,quillboar-male,angry,angry,draft,draft,,ungenerated,,pending,
quillboar-male--sorrowful,quillboar-male,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
quillboar-male--joyful,quillboar-male,joyful,joyful,draft,draft,,ungenerated,,pending,
quillboar-male--proclaiming,quillboar-male,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
quillboar-female--neutral,quillboar-female,neutral,neutral,draft,draft,,ungenerated,,pending,
quillboar-female--angry,quillboar-female,angry,angry,draft,draft,,ungenerated,,pending,
quillboar-female--sorrowful,quillboar-female,sorrowful,sorrowful,draft,draft,,ungenerated,,pending,
quillboar-female--joyful,quillboar-female,joyful,joyful,draft,draft,,ungenerated,,pending,
quillboar-female--proclaiming,quillboar-female,proclaiming,proclaiming,draft,draft,,ungenerated,,pending,
